,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-05-18,113.489998,120.0,112.790001,119.190002,118.018204,3603900.0,3603900.0,5.7,5.022,117.32667,"May 18, 20",0.05022
2020-05-15,107.540001,108.959999,106.25,107.519997,106.462921,2940000.0,2940000.0,-0.02,-0.019,107.57667,"May 15, 20",-0.00019
2020-05-14,107.360001,109.18,103.400002,109.110001,108.0373,3254700.0,3254700.0,1.75,1.63,107.23,"May 14, 20",0.0163
2020-05-13,113.080002,113.150002,108.25,109.339996,108.265038,2905900.0,2905900.0,-3.74001,-3.307,110.24667,"May 13, 20",-0.03307
2020-05-12,118.0,118.110001,113.080002,113.139999,112.027672,1979400.0,1979400.0,-4.86,-4.119,114.77667,"May 12, 20",-0.04119
2020-05-11,118.389999,119.370003,116.279999,117.559998,116.404221,1863500.0,1863500.0,-0.83,-0.701,117.73667,"May 11, 20",-0.00701
2020-05-08,118.25,120.889999,118.18,120.440002,119.255913,1771700.0,1771700.0,2.19,1.852,119.83667,"May 08, 20",0.01852
2020-05-07,116.940002,118.870003,116.150002,116.739998,115.592285,1842100.0,1842100.0,-0.2,-0.171,117.25333,"May 07, 20",-0.00171
2020-05-06,118.889999,119.419998,115.080002,115.120003,113.988213,1917100.0,1917100.0,-3.77,-3.171,116.54,"May 06, 20",-0.03171
2020-05-05,117.830002,120.120003,117.129997,117.669998,116.513138,1703100.0,1703100.0,-0.16,-0.136,118.30667,"May 05, 20",-0.00136
2020-05-04,117.120003,117.559998,114.610001,115.849998,114.711029,2410400.0,2410400.0,-1.27,-1.084,116.00667,"May 04, 20",-0.01084
2020-05-01,124.519997,124.559998,117.5,118.199997,117.037926,3141800.0,3141800.0,-6.32,-5.075,120.08667,"May 01, 20",-0.05075
2020-04-30,127.93,127.93,125.75,126.769997,125.523674,1970400.0,1970400.0,-1.16,-0.907,126.81667,"April 30, 20",-0.00907
2020-04-29,130.0,131.800003,128.460007,129.479996,128.207031,2172500.0,2172500.0,-0.52,-0.4,129.91334,"April 29, 20",-0.004
2020-04-28,129.809998,129.889999,125.160004,127.739998,126.484138,2738700.0,2738700.0,-2.07,-1.595,127.59667,"April 28, 20",-0.01595
2020-04-27,124.160004,128.5,122.32,127.290001,126.038559,2395900.0,2395900.0,3.13,2.521,126.03667,"April 27, 20",0.02521
2020-04-24,121.410004,123.190002,119.480003,123.059998,121.850151,2111600.0,2111600.0,1.64999,1.359,121.91,"April 24, 20",0.01359
2020-04-23,118.639999,122.419998,118.5,120.879997,119.691582,2021100.0,2021100.0,2.24,1.888,120.6,"April 23, 20",0.01888
